"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"03/02/2026","ACCESS","16.21","16.20","16.21","16.21","16.21","16.21","0.00","16.20","16.21","116.00","1.00"
"03/02/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","80.00","404.80"
"03/02/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0.00","0.00"
"03/02/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"03/02/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0.00","0.00"
"03/02/2026","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","","6.12","6.00","39.00"
"03/02/2026","BOPP","64.00","55.82","64.00","64.00","64.00","64.00","0.00","64.00","","0.00","0.00"
"03/02/2026","CAL","0.81","0.61","0.79","0.79","0.81","0.81","0.02","","0.79","655.00","529.00"
"03/02/2026","CLYD","0.50","0.46","0.50","0.50","0.50","0.50","0.00","0.53","","0.00","0.00"
"03/02/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.14","","0.00","0.00"
"03/02/2026","CPC","0.06","0.05","0.06","0.06","0.06","0.06","0.00","0.06","","0.00","0.00"
"03/02/2026","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","","10.00","3.80"
"03/02/2026","EGH","28.93","25.00","28.93","28.93","28.93","28.93","0.00","28.96","","0.00","0.00"
"03/02/2026","EGL","3.85","3.48","3.85","3.85","3.85","3.85","0.00","3.85","","200.00","770.00"
"03/02/2026","ETI","0.77","0.76","0.77","0.77","0.77","0.77","0.00","0.70","0.77","90.00","69.00"
"03/02/2026","FML","8.00","8.00","8.00","8.00","8.00","8.00","0.00","8.00","","2.00","17.00"
"03/02/2026","FAB","7.78","7.71","7.78","7.78","7.78","7.78","0.00","","","0.00","0.00"
"03/02/2026","GCB","22.33","20.11","22.33","22.33","22.33","22.33","0.00","22.35","","300.00","6.00"
"03/02/2026","GGBL","7.26","6.60","6.60","6.60","7.26","7.26","0.66","6.60","","26.00","194.00"
"03/02/2026","GOIL","3.08","2.96","3.08","3.08","3.08","3.08","0.00","3.08","","6.00","18.72"
"03/02/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","3.00","15.60"
"03/02/2026","MTNGH","4.25","4.20","4.20","4.20","4.20","4.20","0.00","4.18","4.20","1.00","5.00"
"03/02/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0.00","0.00"
"03/02/2026","RBGH","1.34","1.30","1.34","1.34","1.34","1.34","0.00","1.34","","690.00","924.60"
"03/02/2026","SCB","29.27","29.22","29.27","29.27","29.27","29.27","0.00","29.30","","2.00","58.62"
"03/02/2026","SIC","1.25","1.20","1.20","1.20","1.25","1.25","0.05","","1.20","110.00","138.00"
"03/02/2026","SOGEGH","4.93","4.49","4.71","4.71","4.71","4.71","0.00","4.71","","2.00","11.00"
"03/02/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0.00","0.00"
"03/02/2026","TOTAL","40.30","40.19","40.19","40.19","40.19","40.19","0.00","40.19","40.20","1.00","57.00"
"03/02/2026","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","","5.00","59.60"
"03/02/2026","UNIL","19.79","19.79","19.79","19.79","19.79","19.79","0.00","19.79","","282.00","5.00"
"03/02/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0.00","0.00"
"03/02/2026","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","","0.00","0.00"
"03/02/2026","GLD","494.77","466.72","466.72","466.72","466.72","466.72","0.00","466.72","","36.00","16.00"
"03/02/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","","","0.00","0.00"
"03/02/2026","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"03/02/2026","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","0.10","0.00","0.00"
"03/02/2026","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","","","0.00","0.00"
"03/02/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","","","0.00","0.00"
"02/02/2026","ACCESS","16.21","16.20","16.21","16.21","16.21","16.21","0.00","16.20","16.21","4.00","79.00"
"02/02/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","7.00","35.42"
"02/02/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0.00","0.00"
"02/02/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"02/02/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","170.00","1.00"
"02/02/2026","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","","6.12","393.00","2.00"
"02/02/2026","BOPP","64.00","55.82","62.60","62.60","64.00","64.00","1.40","64.00","","704.00","45.00"
"02/02/2026","CAL","0.81","0.61","0.81","0.81","0.79","0.79","-0.02","","0.79","864.00","684.00"
"02/02/2026","CLYD","0.50","0.46","0.50","0.50","0.50","0.50","0.00","0.53","","2.00","1.00"
"02/02/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.14","","0.00","0.00"
"02/02/2026","CPC","0.06","0.05","0.06","0.06","0.06","0.06","0.00","0.06","","900.00","54.00"
"02/02/2026","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","","0.00","0.00"
"02/02/2026","EGH","28.93","25.00","28.93","28.93","28.93","28.93","0.00","28.96","","126.00","3.00"
"02/02/2026","EGL","3.85","3.48","3.54","3.54","3.85","3.85","0.31","3.85","","2.00","9.00"
"02/02/2026","ETI","0.77","0.76","0.77","0.77","0.77","0.77","0.00","0.70","0.77","46.00","35.00"
"02/02/2026","FML","8.00","8.00","8.00","8.00","8.00","8.00","0.00","8.00","","29.00","232.00"
"02/02/2026","FAB","7.78","7.71","7.78","7.78","7.78","7.78","0.00","","","0.00","0.00"
"02/02/2026","GCB","22.33","20.11","22.30","22.30","22.33","22.33","0.03","22.35","","2.00","53.00"
"02/02/2026","GGBL","6.60","6.60","6.60","6.60","6.60","6.60","0.00","6.60","","74.00","488.40"
"02/02/2026","GOIL","3.08","2.96","3.01","3.01","3.08","3.08","0.07","3.08","","1.00","3.00"
"02/02/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","18.00","93.60"
"02/02/2026","MTNGH","4.25","4.20","4.20","4.20","4.20","4.20","0.00","4.18","4.20","411.00","1.00"
"02/02/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0.00","0.00"
"02/02/2026","RBGH","1.34","1.30","1.33","1.33","1.34","1.34","0.01","1.34","","1.00","1.00"
