"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"26/01/2026","ACCESS","16.21","16.20","16.21","16.21","16.21","16.21","0.00","16.21","17.80","3.00","48.63"
"26/01/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","4.00","20.24"
"26/01/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0.00","0.00"
"26/01/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0.00","0.00"
"26/01/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0.00","0.00"
"26/01/2026","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","","6.12","242.00","1.00"
"26/01/2026","BOPP","62.56","55.82","62.56","62.56","62.00","62.56","0.00","62.56","","0.00","0.00"
"26/01/2026","CAL","0.71","0.61","0.70","0.70","0.72","0.71","0.01","0.71","0.72","123.00","87.00"
"26/01/2026","CLYD","0.50","0.46","0.50","0.50","0.54","0.50","0.00","0.52","","0.00","0.00"
"26/01/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.14","","0.00","0.00"
"26/01/2026","CPC","0.06","0.05","0.06","0.06","0.06","0.06","0.00","0.06","","0.00","0.00"
"26/01/2026","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","","20.00","7.60"
"26/01/2026","EGH","28.89","25.00","28.89","28.89","28.88","28.89","0.00","28.90","","0.00","0.00"
"26/01/2026","EGL","3.53","3.48","3.53","3.53","3.55","3.53","0.00","3.53","","7.00","24.71"
"26/01/2026","ETI","0.77","0.76","0.77","0.77","0.77","0.77","0.00","0.77","","2.00","2.00"
"26/01/2026","FML","8.00","8.00","8.00","8.00","8.00","8.00","0.00","8.00","8.00","10.00","80.00"
"26/01/2026","FAB","7.78","7.71","7.78","7.78","7.78","7.78","0.00","7.78","","0.00","0.00"
"26/01/2026","GCB","22.05","20.11","22.00","22.00","22.05","22.05","0.05","22.05","","23.00","509.00"
"26/01/2026","GGBL","6.60","6.60","6.60","6.60","6.60","6.60","0.00","6.60","","1.00","6.60"
