"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"14/08/2026","ACCESS","46.64","16.20","31.49","31.49","31.49","31.49","0.00","","31.00","0","0.00"
"14/08/2026","ADB","5.30","5.06","5.30","5.30","5.30","5.30","0.00","5.30","","1","5.30"
"14/08/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"14/08/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"14/08/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","5","44.45"
"14/08/2026","ALLGH","8.46","5.38","5.38","5.38","5.40","5.40","0.02","4.90","5.40","7,143","38,572.20"
"14/08/2026","BOPP","100.00","55.82","78.00","78.00","78.00","78.00","0.00","","77.00","1,002","77,414.00"
"14/08/2026","CAL","0.94","0.61","0.79","0.79","0.78","0.78","-0.01","0.77","0.79","538,525","421,446.42"
"14/08/2026","CLYD","6.50","0.46","5.98","5.98","6.50","6.50","0.52","5.98","","1,425","8,989.50"
"14/08/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"14/08/2026","CPC","0.18","0.05","0.18","0.18","0.18","0.18","0.00","0.19","","0","0.00"
"14/08/2026","DASPHARMA","0.81","0.38","0.74","0.74","0.81","0.81","0.07","0.81","","33,070","26,786.70"
"14/08/2026","EGH","57.00","25.00","39.00","39.00","39.00","39.00","0.00","","39.00","2,810","109,594.00"
"14/08/2026","EGL","12.16","3.48","10.02","10.02","10.02","10.02","0.00","","10.02","20,730","207,684.60"
"14/08/2026","ETI","2.82","0.76","1.88","1.88","1.89","1.89","0.01","1.89","1.90","129,418","244,666.33"
"14/08/2026","FML","16.35","8.00","13.21","13.21","13.20","13.20","-0.01","13.21","14.00","5,300","69,993.00"
"14/08/2026","FAB","8.40","7.71","8.40","8.40","8.40","8.40","0.00","8.40","","0","0.00"
"14/08/2026","GCB","52.00","20.11","43.04","43.04","42.95","42.95","-0.09","39.00","42.90","8,105","348,287.74"
"14/08/2026","GGBL","16.50","6.60","11.88","11.88","11.88","11.88","0.00","","11.88","820","9,741.60"
"14/08/2026","GOIL","8.01","2.96","7.93","7.93","7.93","7.93","0.00","","7.93","143,988","1,141,824.84"
"14/08/2026","KASA","2.30","1.20","1.91","1.91","2.00","2.00","0.09","1.97","2.00","164,651","328,894.73"
"14/08/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"14/08/2026","MTNGH","7.15","4.20","7.05","7.05","7.04","7.04","-0.01","7.04","7.05","196,652","1,385,325.79"
"14/08/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"14/08/2026","RBGH","5.58","1.30","4.20","4.20","4.20","4.20","0.00","","4.20","1,158","4,863.60"
"14/08/2026","SCB","79.41","29.22","70.00","70.00","70.00","70.00","0.00","","69.90","238","16,636.20"
"14/08/2026","SIC","6.09","1.20","5.31","5.31","5.59","5.59","0.28","5.37","5.64","32,521","182,114.82"
"14/08/2026","SOGEGH","11.51","4.49","6.00","6.00","5.86","5.86","-0.14","5.40","6.00","11,207","66,245.20"
